sample_size,power,mcse,method,lower,upper,p_value_power
100,0.543,0.015752809273269323,GLM_Gamma,0.5121250611690635,0.5738749388309365,0.534
100,0.538,0.015765658882520576,GLM_Gaussian,0.5070998763977157,0.5689001236022844,0.529
100,0.263,0.013922320208930694,Log_LR,0.2357127538092617,0.2902872461907383,0.253
100,0.556,0.015711906313366306,LR,0.5252052294973346,0.5867947705026655,0.547
100,0.72,0.014198591479439079,OLR,0.6921712720691021,0.7478287279308978,0.72
105,0.55,0.015732132722552274,GLM_Gamma,0.5191655864637935,0.5808344135362066,0.543
105,0.545,0.015747221977225064,GLM_Gaussian,0.5141360120680813,0.5758639879319187,0.536
105,0.28,0.014198591479439079,Log_LR,0.25217127206910217,0.3078287279308979,0.275
105,0.559,0.015700923539715746,LR,0.52822675533814,0.5897732446618601,0.554
105,0.727,0.014087973594523805,OLR,0.699388079139582,0.754611920860418,0.727
110,0.579,0.015612783224012303,GLM_Gamma,0.5483995071825047,0.6096004928174952,0.571
110,0.583,0.015592017188292218,GLM_Gaussian,0.5524402078646178,0.6135597921353821,0.577
110,0.28600000000000003,0.014289996501049257,Log_LR,0.2579921215187401,0.31400787848125994,0.282
110,0.598,0.015504708962118573,LR,0.5676113288434722,0.6283886711565277,0.589
110,0.755,0.013600551459407815,OLR,0.728343408969677,0.781656591030323,0.755
115,0.582,0.015597307459943206,GLM_Gamma,0.5514298391227134,0.6125701608772866,0.574
115,0.579,0.015612783224012303,GLM_Gaussian,0.5483995071825047,0.6096004928174952,0.569
115,0.281,0.014214042352547005,Log_LR,0.25314098891428094,0.3088590110857191,0.27
115,0.598,0.015504708962118573,LR,0.5676113288434722,0.6283886711565277,0.589
115,0.748,0.013729384545565033,OLR,0.7210909007607917,0.7749090992392083,0.748
120,0.619,0.015357050498061143,GLM_Gamma,0.5889007341150373,0.6490992658849627,0.614
120,0.619,0.015357050498061143,GLM_Gaussian,0.5889007341150373,0.6490992658849627,0.612
120,0.325,0.014811313243598625,Log_LR,0.29597035947880557,0.35402964052119446,0.317
120,0.626,0.015301111070768685,LR,0.5960103733778462,0.6559896266221538,0.62
120,0.782,0.013056645817360598,OLR,0.7564094444390778,0.8075905555609223,0.782
125,0.623,0.01532550162311172,GLM_Gamma,0.5929625687736909,0.6530374312263091,0.619
125,0.634,0.01523299051401267,GLM_Gaussian,0.6041438872156949,0.6638561127843051,0.628
125,0.314,0.01467664811869522,Log_LR,0.2852342982735898,0.3427657017264102,0.312
125,0.648,0.015102847413650183,LR,0.6183989630052418,0.6776010369947583,0.642
125,0.794,0.0127892142057282,OLR,0.7689336007662048,0.8190663992337953,0.794
130,0.599,0.015498354751392161,GLM_Gamma,0.5686237828676461,0.6293762171323538,0.597
130,0.601,0.015485444778888335,GLM_Gaussian,0.570649085948795,0.6313509140512049,0.596
130,0.32,0.014751271131668619,Log_LR,0.2910880398557441,0.3489119601442559,0.312
130,0.615,0.015387494922826133,LR,0.5848410641389679,0.6451589358610321,0.604
130,0.787,0.012947239087929132,OLR,0.7616238776884298,0.8123761223115703,0.787
135,0.647,0.015112610628213776,GLM_Gamma,0.6173798274563238,0.6766201725436762,0.643
135,0.657,0.015011695440555674,GLM_Gaussian,0.6275776175896268,0.6864223824103732,0.643
135,0.34900000000000003,0.015073121773541141,Log_LR,0.3194572241892729,0.37854277581072715,0.343
135,0.676,0.014799459449588015,LR,0.6469935924881466,0.7050064075118535,0.667
135,0.8210000000000001,0.012122664723566347,OLR,0.7972400137451559,0.8447599862548443,0.821
140,0.642,0.01516034300403523,GLM_Gamma,0.6122862737188172,0.6717137262811829,0.634
140,0.653,0.01505293991218991,GLM_Gaussian,0.6234967799106623,0.6825032200893377,0.642
140,0.357,0.015150940564862632,Log_LR,0.3273047021609623,0.38669529783903767,0.35
140,0.662,0.014958475858188226,LR,0.6326819260543393,0.6913180739456608,0.652
140,0.8250000000000001,0.012015614840697913,OLR,0.8014498276601272,0.848550172339873,0.825
145,0.679,0.0147634345597493,GLM_Gamma,0.6500641999747775,0.7079358000252226,0.675
145,0.676,0.014799459449588015,GLM_Gaussian,0.6469935924881466,0.7050064075118535,0.668
145,0.35100000000000003,0.015093011627902499,Log_LR,0.3214182407910669,0.38058175920893317,0.341
145,0.6880000000000001,0.014651143300097777,LR,0.6592842867994732,0.716715713200527,0.684
145,0.842,0.011534123287012326,OLR,0.8193935337642111,0.8646064662357889,0.842
150,0.6920000000000001,0.014599178059055242,GLM_Gamma,0.6633861368003644,0.7206138631996357,0.685
150,0.6920000000000001,0.014599178059055242,GLM_Gaussian,0.6633861368003644,0.7206138631996357,0.688
150,0.368,0.015250442616527561,Log_LR,0.3381096817233112,0.3978903182766888,0.362
150,0.706,0.014407081592050489,LR,0.677762638957251,0.734237361042749,0.701
150,0.879,0.010313049985334114,OLR,0.8587867934579838,0.8992132065420162,0.879
155,0.717,0.014244683218660919,GLM_Gamma,0.6890809339202425,0.7449190660797574,0.712
155,0.719,0.014214042352547005,GLM_Gaussian,0.6911409889142809,0.7468590110857191,0.718
155,0.377,0.01532550162311172,Log_LR,0.3469625687736909,0.4070374312263091,0.375
155,0.725,0.014120021246442939,LR,0.6973252668960315,0.7526747331039685,0.724
155,0.873,0.010529529904036551,OLR,0.8523625006139509,0.8936374993860491,0.873
160,0.721,0.014183053267896867,GLM_Gamma,0.693201726404109,0.7487982735958909,0.719
160,0.726,0.014104041973845655,GLM_Gaussian,0.6983565856948213,0.7536434143051787,0.716
160,0.383,0.015372410351015223,Log_LR,0.3528706293564394,0.4131293706435606,0.376
160,0.737,0.013922320208930694,LR,0.7097127538092617,0.7642872461907383,0.733
160,0.872,0.010564847372300274,OLR,0.8512932796481288,0.8927067203518712,0.872
