sample_size,power,mcse,method,lower,upper,p_value_power,p_value_mcse,p_value_upper,p_value_lower
20,0.0562,0.003257040374327589,GLM_Gamma,0.04981631817012507,0.06258368182987493,0.0412,0.0028107849437479203,0.04670903725803337,0.035690962741966634
20,0.042,0.002836758713743557,GLM_Gaussian,0.03644005508823246,0.04755994491176754,0.0284,0.002349188796159219,0.033004325433357073,0.023795674566642926
20,0.046200000000000005,0.0029686885993650465,Log_LR,0.040381477263929856,0.052018522736070154,0.0328,0.002518894995826543,0.0377369434726582,0.02786305652734181
20,0.0636,0.0034512328232097008,LR,0.0568357079642465,0.0703642920357535,0.0466,0.002980887116279313,0.05244243138988691,0.04075756861011309
20,0.0534,0.0031795735563122296,OLR,0.047168150343432094,0.05963184965656791,0.0534,0.0031795735563122296,0.05963184965656791,0.047168150343432094
25,0.060200000000000004,0.0033638061775316365,GLM_Gamma,0.05360706104106465,0.06679293895893536,0.0462,0.002968688599365046,0.05201852273607015,0.04038147726392985
25,0.042800000000000005,0.0028624520956690267,GLM_Gaussian,0.03718969698501751,0.048410303014982496,0.035,0.002599038283673405,0.04009402143044067,0.029905978569559333
25,0.0524,0.003151324800778238,Log_LR,0.04622351688688679,0.05857648311311321,0.0404,0.0027845229393919525,0.045857564675333834,0.03494243532466616
25,0.0646,0.003476401587849137,LR,0.05778637809201784,0.07141362190798217,0.0488,0.00304691844328003,0.05477185041265971,0.0428281495873403
25,0.0618,0.0034053123204781086,OLR,0.05512571049575239,0.06847428950424761,0.0618,0.0034053123204781086,0.06847428950424761,0.05512571049575239
30,0.051800000000000006,0.0031342227106573015,GLM_Gamma,0.0456570363675842,0.057942963632415814,0.0442,0.0029067631482458285,0.049897151082150086,0.03850284891784992
30,0.0458,0.0029564289269319497,GLM_Gaussian,0.04000550578036098,0.05159449421963902,0.0358,0.002627483967600944,0.04094977394645426,0.030650226053545743
